BearNumber,Name,Year,Round,Opponent,Matchup,Number of Votes,RoundWin,RoundWinBinary,CompetitionWin,CompWinBinary,NumPreviousWins,Sex,ParkSize,ParkAgeCategory,ParkAge,ParkFur,SurveyFur,SurveyBefore,BeforeSizeMode,BeforeSizeSum,BeforeSizeCount,SurveyAfter,AfterSum,AfterCount,SurveyAngle
32,Chunk,2021,2,151,A,11038,N,0,N,0,0,M,Large,Adult,16,Medium-brown to dark brown,Dark brown,Large,3,30,17,Medium,54,17,4.882
128,Grazer,2021,1,435,B,52145,Y,1,N,0,0,F,Medium to large,Adult,16,Blond to light-blond,Blond,Medium,2,45,17,Large,43,17,3.353
128,Grazer,2021,2,132,C,32251,N,0,N,0,0,F,Medium to large,Adult,16,Blond to light-blond,Blond,Medium,2,45,17,Large,43,17,3.353
131,,2021,1,812,D,17706,N,0,N,0,0,F,Small,Subadult,3,,Blond,Small,1,21,17,Medium,34,17,3.176
132c,132's cub,2021,2,128,C,40968,Y,1,N,0,0,,,Cub,1,,Brown,Small,1,18,17,Small,29,17,4.706
132c,132's cub,2021,3,151,E,31399,N,0,N,0,0,,,Cub,1,,Brown,Small,1,18,17,Small,29,17,4.706
151,Walker,2021,1,634,F,64451,Y,1,N,0,0,M,Medium,Young adult,14,Brown,Dark brown,Medium,2,37,17,Very large,65,17,4.235
151,Walker,2021,2,32,A,60621,Y,1,N,0,0,M,Medium,Young adult,14,Brown,Dark brown,Medium,2,37,17,Very large,65,17,4.235
151,Walker,2021,3,132,E,224496,Y,1,N,0,0,M,Medium,Young adult,14,Brown,Dark brown,Medium,2,37,17,Very large,65,17,4.235
151,Walker,2021,4,480,G,44834,N,0,N,0,0,M,Medium,Young adult,14,Brown,Dark brown,Medium,2,37,17,Very large,65,17,4.235
402,,2021,1,480,H,14026,N,0,N,0,0,F,Large,Adult,23,Dark blonde or brown,Brown,Medium,2,40,17,Very large,55,17,5.176
435,Holly,2021,1,128,B,25420,N,0,N,0,1,F,Medium,Adult,22,Light blonde to toasted marshmallow???,Blond,Small,1,25,17,Large,49,17,3.471
480,Otis,2021,1,402,H,71227,Y,1,Y,1,3,M,Medium-large,Adult,24,Dark blonde to brown,Light brown,Small,1,22,17,Large,55,17,3.941
480,Otis,2021,2,747,I,34000,Y,1,Y,1,3,M,Medium-large,Adult,24,Dark blonde to brown,Light brown,Small,1,22,17,Large,55,17,3.941
480,Otis,2021,3,812,J,44581,Y,1,Y,1,3,M,Medium-large,Adult,24,Dark blonde to brown,Light brown,Small,1,22,17,Large,55,17,3.941
480,Otis,2021,4,151,G,51230,Y,1,Y,1,3,M,Medium-large,Adult,24,Dark blonde to brown,Light brown,Small,1,22,17,Large,55,17,3.941
503,,2021,2,812,K,22447,N,0,N,0,0,M,,Young adult,9,Brown ,Dark brown,Small,1,30,17,Large + Very large,55,17,2.941
634,Popeye,2021,1,151,F,11820,N,0,N,0,0,M,Medium-large,Adult,22,Brown,Brown,Medium,2,38,17,Very large,58,17,2.529
747,,2021,2,480,I,22532,N,0,N,0,1,M,Very large,Adult,20,Medium-brown to dark brown,Dark brown,Medium,2,39,17,Very large,63,17,5.176
812,,2021,1,131,D,68092,Y,1,N,0,0,M,,Adult,6,,Brown,Medium,2,31,17,Large,52,17,3.529
812,,2021,2,503,K,31728,Y,1,N,0,0,M,,Adult,6,,Brown,Medium,2,31,17,Large,52,17,3.529
812,,2021,3,480,J,18451,N,0,N,0,0,M,,Adult,6,,Brown,Medium,2,31,17,Large,52,17,3.529
32,Chunk,2020,1,719,L,59435,Y,1,N,0,0,M,Large,Adult,15,Dark brown,Dark brown,Medium,2,33,17,Very large,64,17,5.118
32,Chunk,2020,2,435,M,30257,Y,1,N,0,0,M,Large,Adult,15,Dark brown,Dark brown,Medium,2,33,17,Very large,64,17,5.118
32,Chunk,2020,3,128,N,26622,Y,1,N,0,0,M,Large,Adult,15,Dark brown,Dark brown,Medium,2,33,17,Very large,64,17,5.118
32,Chunk,2020,4,747,O,21854,N,0,N,0,0,M,Large,Adult,15,Dark brown,Dark brown,Medium,2,33,17,Very large,64,17,5.118
128,Grazer,2020,2,909,P,6591,Y,1,N,0,0,F,Medium to large,Adult ,15,Dark blonde,Light brown,Small,1,21,17,Very large,58,17,3.118
128,Grazer,2020,3,32,N,28785,N,0,N,0,0,F,Medium to large,Adult ,15,Dark blonde,Light brown,Small,1,21,17,Very large,58,17,3.118
151,Walker,2020,1,856,Q,73749,Y,1,N,0,0,M,Medium,Young adult,13,Brown,Brown,Medium,2,35,17,Large + Very large,58,17,6.236
151,Walker,2020,2,480,R,41956,Y,1,N,0,0,M,Medium,Young adult,13,Brown,Brown,Medium,2,35,17,Large + Very large,58,17,6.236
151,Walker,2020,3,747,S,10902,N,0,N,0,0,M,Medium,Young adult,13,Brown,Brown,Medium,2,35,17,Large + Very large,58,17,6.236
402,,2020,2,812,T,11652,N,0,N,0,0,F,Large,Adult,22,Brown,Dark brown,Medium + large,2.5,44,17,Large + Very large,54,17,6.883
435,Holly,2020,2,32,M,21475,N,0,N,0,1,F,Medium,Adult,21,Dark blonde/toasted marshmallow,Light brown,Small,1,27,17,Very large,56,17,4.059
480,Otis,2020,2,151,R,19882,N,0,N,0,3,M,Medium-large,Adult,23,Brown,Light brown,Medium,2,28,17,Large,51,17,5.471
719,,2020,1,32,L,12184,N,0,N,0,0,,Medium,Young Adult,7,Dark blonde,Light brown,Small,1,22,17,Large,49,17,3.647
747,,2020,2,812,U,33748,Y,1,Y,1,0,M,Very large,Adult,19,Dark brown,Dark brown,Large,3,48,17,Very large,63,17,7.235
747,,2020,3,151,S,31618,Y,1,Y,1,0,M,Very large,Adult,19,Dark brown,Dark brown,Large,3,48,17,Very large,63,17,7.235
747,,2020,4,32,O,47055,Y,1,Y,1,0,M,Very large,Adult,19,Dark brown,Dark brown,Large,3,48,17,Very large,63,17,7.235
812,,2020,1,402,T,39492,Y,1,N,0,0,M,,Young Adult,5,Brown,Light brown,Small,1,22,17,Very large,64,17,3.647
812,,2020,2,747,U,25973,N,0,N,0,0,M,,Young Adult,5,Brown,Light brown,Small,1,22,17,Very large,64,17,3.647
856,,2020,1,151,Q,16803,N,0,N,0,0,M,Large,Adult,19,Brown,Brown,Medium,2,29,17,Large,52,17,5.236
909,,2020,1,435c,V,25665,Y,1,N,0,0,F,Small,Subadult,4,Blonde,Brown,Small,1,20,17,Large,46,17,3.588
909,,2020,2,128,P,41023,N,0,N,0,0,F,Small,Subadult,4,Blonde,Brown,Small,1,20,17,Large,46,17,3.588
435C,,2020,1,909,V,19182,N,0,N,0,0,F,Small,Cub,1,Blonde,Light brown,Small,1,1,1,Small,,1,5
