Timestamp,BearNumber,FurColor,Angle,SizeBefore,SizeAfter,Year
11/12/2021 14:09,909,brown,4,Small,Large,2020
11/12/2021 14:13,909,brown,1,Small,Large,2020
11/12/2021 22:11,909,light Brown,1,Small,Large,2020
11/12/2021 22:52,909,light Brown,6,Small,Large,2020
11/13/2021 14:54,909,brown,5,Small,Medium,2020
11/14/2021 9:49,909,brown,5,Small,Large,2020
11/14/2021 9:52,909,light Brown,7,Small,Large,2020
11/14/2021 10:20,909,brown,4,Small,Medium,2020
11/14/2021 11:50,909,brown,1,Small,Large,2020
11/14/2021 13:15,909,brown,5,Small,Large,2020
11/14/2021 18:27,909,brown,1,Medium,Medium,2020
11/16/2021 14:02,909,brown,4,Small,Large,2020
11/16/2021 14:27,909,brown,1,Medium,Very large,2020
11/16/2021 16:24,909,light Brown,3,Small,Medium,2020
11/17/2021 9:12,909,brown,4,Medium,Medium,2020
11/17/2021 10:29,909,brown,5,Small,Large,2020
11/18/2021 11:41,909,brown,4,Small,Medium,2020
11/12/2021 14:09,856,brown,6,Small,Medium,2020
11/12/2021 14:13,856,brown,5,Medium,Large,2020
11/12/2021 22:11,856,light Brown,1,Small,Very large,2020
11/12/2021 22:52,856,dark brown,7,Small,Large,2020
11/13/2021 14:54,856,brown,5,Small,Large,2020
11/14/2021 9:49,856,brown,5,Small,Very large,2020
11/14/2021 9:52,856,brown,5,Medium,Large,2020
11/14/2021 10:20,856,brown,5,Medium,Medium,2020
11/14/2021 11:50,856,brown,5,Small,Large,2020
11/14/2021 13:15,856,light Brown,6,Medium,Very large,2020
11/14/2021 18:27,856,brown,8,Medium,Medium,2020
11/16/2021 14:02,856,brown,5,Medium,Large,2020
11/16/2021 14:27,856,dark brown,6,Large,Very large,2020
11/16/2021 16:24,856,brown,5,Medium,Large,2020
11/17/2021 9:12,856,brown,5,Medium,Large,2020
11/17/2021 10:29,856,dark brown,5,Medium,Large,2020
11/18/2021 11:41,856,brown,5,Medium,Large,2020
11/12/2021 14:09,812,light Brown,3,Small,Very large,2020
11/12/2021 14:13,812,brown,4,Small,Very large,2020
11/12/2021 22:11,812,light Brown,1,Small,Large,2020
11/12/2021 22:52,812,blond,7,Small,Very large,2020
11/13/2021 14:54,812,brown,4,Small,Very large,2020
11/14/2021 9:49,812,light Brown,4,Small,Very large,2020
11/14/2021 9:52,812,blond,4,Small,Very large,2020
11/14/2021 10:20,812,light Brown,4,Medium,Very large,2020
11/14/2021 11:50,812,light Brown,3,Small,Very large,2020
11/14/2021 13:15,812,light Brown,4,Small,Very large,2020
11/14/2021 18:27,812,brown,2,Small,Medium,2020
11/16/2021 14:02,812,brown,4,Small,Very large,2020
11/16/2021 14:27,812,brown,2,Large,Very large,2020
11/16/2021 16:24,812,brown,4,Small,Large,2020
11/17/2021 9:12,812,brown,5,Medium,Very large,2020
11/17/2021 10:29,812,light Brown,4,Small,Very large,2020
11/18/2021 11:41,812,light Brown,3,Medium,Very large,2020
11/12/2021 14:09,747,dark brown,8,Large,Very large,2020
11/12/2021 14:13,747,dark brown,10,Large,Very large,2020
11/12/2021 22:11,747,light Brown,2,Large,Very large,2020
11/12/2021 22:52,747,brown,7,Medium,Very large,2020
11/13/2021 14:54,747,brown,5,Medium,Very large,2020
